video_id,title,description,category,sub_category,tags
-Aa8JNZBMhw,coronavirus latest news wednesday may pm edition,subscribe latest video connect online visit facebook twitter instagram combine trust powerful news brand include sunrise morning show daily edition latest deliver unique engage continuous coverage issue matter australians watch nightly weekdays channel breakingnews coronavirus,News & Politics,COVID 19,"7NEWS,Australia,News,breaking news,coronavirus news,news australia coronavirus,australia coronavirus latest news,coronavirus au,coronavirus update,coronavirus australia,news headlines,seven news,7 news,covid19,covid-19,covid 19,channel 7 news"
-Gxqj7LEOL8,trigger political turmoil malaysia inside story,prime minister mahathir mohamed long see master malaysian politics shock resignation monday trigger speculation may plan hes resist pressure set deadline hand power name successor anwar ibrahim put aside decadeslong rivalry partnership bring mahathir back power deal mahathir promise hand top job ibrahim rule government collapse political party rush forge alliances form new one mahathir come back power different political partnership whats motivate two years surprise comeback presenter adrian finighan guests bridget welsh political analyst senior research associate center east asia democratic study national taiwan university anto mohsin assistant professor northwestern university focus south east asia ibrahim suffian pollster executive director merdeka center opinion research subscribe channel httpbitlyajsubscribe follow us twitter httpstwittercomajenglish find us facebook httpswwwfacebookcomaljazeera check website httpwwwaljazeeracom aljazeeraenglish news malaysia insidestory,News & Politics,Political News,"al jazeera live,al jazeera english,al jazeera,aljazeera,aljazeera english happening now,malaysia,malaysia news,asia news,asia politics,malaysia politics,politics,prime minister,mohamed,mahathir,anwar,ibrahim"
0MsoD0FDiaY,esi scam raise political heat ap politics,esi scam raise political heat ap politics watch live todays top news live telugu live httpsgoogllajmru entertainment live news big debate murali krishna download android app download ios app like us facebook follow us instagram follow us twitter esiscam appolitics,News & Politics,Political News,"TV9 live,TV9 Varthalu,TV9 News,TV9 telugu live,news,political news,tv9,tv9 telugu,tv9 telugu news,tv9 news,telugu news online,online news,trending news,visakhapatnam land pooling,Vizag land issues,Land scam,Land Acquisition,ap politics,Ap Politics,Political News,AP Latest Political News,Andhra Politics,Amaravati Political News,ESI Scam raises political heat"
0ZKPMdN9FBg,christian world news april,christian world news april,News & Politics,World News,"cwnepisodes,cwnyoutube,christian world news,christian world news - april 12 2019,christianity,cbncwn041219cc,christian tv,cbnnewsyoutube,cwn,rev_submitted,hd720,cbn,6025756432001"
0rCkOWdjhUo,latest technology news bloomberg west,bloomberg west host emily chang dive biggest stories tech talk executives entrepreneurs vcs build technologies tomorrow every weekday pm est pm pst like video subscribe bloomberg youtube subscribe bloomberg politics latest political news bloomberg first word business news deliver break news analysis uptotheminute market data feature profile httpwwwbloombergcom connect us twitter httpstwittercombusiness facebook httpswwwfacebookcombloombergbusiness instagram httpswwwinstagramcombloombergbusiness bloomberg television bring coverage biggest business stories exclusive interview newsmakers hours day httpwwwbloombergcomlive connect us twitter httpstwittercombloombergtv facebook httpswwwfacebookcombloombergtelevision instagram httpswwwinstagramcombloombergtv,News & Politics,Technology News,"News,bloomberg,wall street,business news"
0rELGQfqoGg,coronavirus come special,scientists say novel coronavirus come nature remain gap knowledge precise origin choose fill gap conspiracy theories even call manmade disease many ways dont know coronavirus may hurt efforts contain death toll reach across globe world still wait full story coronavirus actually come scientists havent reach conclusive answer thats one reason conspiracy theories misinformation able run rampant subscribe news go httpwwwdwcomen follow dw social media httpswwwfacebookcomdeutschewellenews httpstwittercomdwnews httpswwwinstagramcomdwstories für videos deutscher sprache besuchen sie httpswwwyoutubecomchanneldeutschewelle coronavirus coronavirusorigin,News & Politics,COVID 19,"DW News,coronavirus,corona virus,virus outbreak,corona,coronavirus outbreak,virus,europe lockdown,coronavirus europe,coronavirus spread,coronavirus update,coronavirus news,coronavirus pandemic,coronavirus china,coronavirus wuhan,wuhan,china europe,coronavirus origin,coronavirus conspiracy theories,coronavirus fake news"
1-alJoDYRw8,iran designate us force terrorists,iranian parliament pass bill designate us force terrorists response kill iranian commander qasem soleimani cnns nic robertson latest cnn news,News & Politics,World News,"latest News,Happening Now,CNN,CNN International,CNN Newsroom,Nic Robertson,Rosemary Church,Qasem Soleimani,Qassem Soleimani,Iran,terrorists,Jomana Karadsheh,Barbara Starr,military"
14WxgRAJ-vs,japan south korea trade spat hurt global tech export dw news,trade dispute root wwii history heat japan south korea today tokyo restrict export equipment need make semiconductors computer display move intend hurt south koreas high tech industry come seoul demand action compensate force wwii laborers subscribe news go httpwwwdwcomen follow dw social media httpswwwfacebookcomdeutschewellenews httpstwittercomdwnews httpswwwinstagramcomdwstories für videos deutscher sprache besuchen sie httpswwwyoutubecomchanneldeutschewelle japan southkorea dwnews,News & Politics,Technology News,"Japan,Korea,South Korea,Japan South Korea,Japan Korea,Japan Korea trade,Japan South Korea trade,Japan WWII,Korea WWII,Japan WWII forced labor,Japan Korea forced labor,Japan Korea WWII forced labor,Japan tech exports,Japan South Korea tech exports,Japan South Korea semiconductor exports,Japan South Korea technology exports,Japan South Korea exports,Deutsche Welle,DW,DW News"
1DUfMmuQiXY,business edition tanya beckett bbc world news,combine days main business stories significant global news tanya beckett one bbcs respect business journalists extensive experience global journalism want share view team join bbc studios voice httpswwwbbcstudiosvoicecomregister commercial channel bbc studios service feedback httpswwwbbcstudioscomcontactcontactus,News & Politics,World News,"BBC,World,News,Business,Edition,Tanya,Beckett,Global,Journalist"
1HXx7yi-kHQ,weather report,weather report watch live todays top news visit website live telugu live httpsgoogllajmru entertainment live news big debate murali krishna download android app download ios app like us facebook follow us instagram follow us twitter weatherreport,News & Politics,Weather News,"tv9,tv9 telugu,tv9 telugu news,tv9 news,telugu news online,online news,tv9 andhra pradesh,tv9 telangana,telangana top news,trending news,tv9 latest news updates,tv9 breaking news,tv9 varthalu,Weather Report - TV9,Speed News,News,Morning News,Top News,News Update,Trending News,Top Trending News,Imp News,Fast News,Best News,Elections,AP News,TS News,Sports News,Film News"
