video_id,title,description,category,sub_category,tags
OnhZDZXzBz4,inspire story manoj never stop dream,dream deserve come true watch inspire story manoj never stop dream visit httpgiftalivelihoodcom refer someone like manoj icici academy skills free vocational train gift sustainable livelihood giftalivelihood,Nonprofits & Activism,Inspiring Videos,
2bWeMj2PyUQ,surprise truth inspire others jaymin patel tedxuhasselt,grade due skin color jaymin patel ever since drive different discover surprise truth inspire others jaymin patel travel around globe hold variety job waiter forklift driver model actor csuite adviser large corporations start company different countries bollywood dancer choreographer live visit countries include state usa besides also know give amaze hug drive passion understand celebrate make people unique different dedicate life teach people achieve goals live full authentic existence international speaker coach author book network rockstar ready rock tedxuhasselt stage talk give tedx event use ted conference format independently organize local community learn httptedcomtedx,Nonprofits & Activism,Inspiring Videos,"TEDxTalks,English,Belgium,Life,Achievement,Behavior,Benefit,Body language,Business,Career,Cause,Change,Choice,Communication,Connection,Consciousness,Decision making,Development,Discrimination,Dreams,Early education,Emotions,Empathy,Energy"
mC6LNBWpMCE,engage inspire teachers amjad ali tedxnorwiched,talk explore concept engage classroom whether necessary amjad dissect notion gimmick fad present teach develop time turn inspire generations people overall message best never stop learn amjad senior leader train educators nationally internationally ambitious commit aim make difference education system inspire change recently involve coorganising bameed new national network inspire bame educators teach tweet tweak practice help others improve turn help students amjad education ensure wherever come whatever parent impact ones potential success whatever success mean young person find celebrate talk give tedx event use ted conference format independently organize local community learn httptedcomtedx,Nonprofits & Activism,Inspiring Videos,"TEDxTalks,English,United Kingdom,Education,Education reform,Schools,Teaching"
7sxpKhIbr0E,psychology selfmotivation scott geller tedxvirginiatech,never miss talk subscribe tedx channel scott geller alumni distinguish professor virginia tech director center apply behavior systems department psychology fellow american psychological association association psychological science world academy productivity quality write numerous article book include ones watch live lead selfmotivation scott examine become selfmotivated psychology selfmotivation spirit ideas worth spread tedx program local selforganized events bring people together share tedlike experience tedx event tedtalks video live speakers combine spark deep discussion connection small group local selforganized events brand tedx x independently organize ted event ted conference provide general guidance tedx program individual tedx events selforganized subject certain rule regulations,Nonprofits & Activism,Inspiring Videos,"Virginia Tech,Science,United States,ted x,ted talk,Scott Gellar,Psychology,English,tedx talks,belief,Virginia Polytechnic Institute And State University (College/University),Motivation,tedx talk,competence,tedx,consequences,ted,TEDx,TEDxVirginiaTech,Blacksburg,ted talks"
FEeTLopLkEo,inspire next generation female engineer debbie sterling tedxpsu,close eye picture engineer probably werent envision debbie sterling debbie sterling engineer founder goldieblox toy company inspire next generation female engineer make mission life tackle gender gap science technology engineer math goldieblox book seriesconstruction set engage kid build story goldie girl inventor solve problems build simple machine debbie write illustrate goldies stories take inspiration grandmother one first female cartoonists creator mr magoo company launch raise days kickstarter feature numerous publications atlantic forbes prior found goldieblox debbie serve market director lori bonn national jewelry company past years also serve brand strategy consultant wide variety organizations include microsoft tmobile organic valley new york knicks debbies inspiration create missiondriven company come spend months volunteer grassroots nonprofit rural india create viral fundraise campaign call want goat raise economic educational development region experience help pave way find true passion inspire next generation female engineer debbie complete degree engineer stanford product design currently live husband san francisco spirit ideas worth spread tedx program local selforganized events bring people together share tedlike experience tedx event tedtalks video live speakers combine spark deep discussion connection small group local selforganized events brand tedx x independently organize ted event ted conference provide general guidance tedx program individual tedx events selforganized subject certain rule regulations,Nonprofits & Activism,Inspiring Videos,"ted,tedx talk,tedx talks,tedxpsu,tedx,ted talk,english,ted x,ted talks"
_s6-NLxvKl0,inspire speech ever hear,credit go jam aspey amaze work vegan movement original video find qa subscribe channel vegan stickers go vegan httpsgooglcxbjub starter httpsgooglowkcfz vegan speech every vegan documentary get every nutrient guide vegan nutrition podcast also vegan revolution vegan activist httpssoundcloudcomveganactivistpodcast vegan stickers vegan clothe help theveganactivisthotmailcom httpsgooglkxhpla httpsinstagramcomtheveganactivist httpswwwfacebookcomtheveganactivist help us caption translate video,Nonprofits & Activism,Inspiring Videos,"vegan,veganism,activist,activism,sPEECH,Best speech ever,Inspiring,James Aspey,vegetarianism,James Aspey Speech"
3mlVVCgQRmk,pt usha untold inspire story indian athlete,golden girl pt usha continue work dream win olympic gold students free school women athletes support indian dream httpbitlyptushaschool,Nonprofits & Activism,Inspiring Videos,"India,sport,athlete,PTUsha,P.T.Usha,Olympics,girl,Indian,Inspirational,Inspiring,Motivational,Untold,women,free school,school,Dream,win,golden"
Ja9BFx5Mhqo,inspire video ever watch,repost video friend mine make post car website inspire members want others see video could inspire wonder julia still alive roger continue run sake isnt video sadness one human spirit accomplish roger set quest lose weight get healthy eventually run boston marathon niece bear cystic fibrosis goal raise awareness cystic fibrosis along raise money research treatment cure heartbreaking disease video highlight incredible journey age obesity accomplish marathon runner roger humble man continue run marathons day raise money cf research work tirelessly spread message accomplish anything set mind november roger run new york city marathon marathon years since run boston marathon would like read donate cff cystic fibrosis foundation browse wwwrfmeorg read roger cf personal note watch video constantly need positive motivation desire video reach many people possible need help ultimately donate find cure cf dream share everyone please pass video along watch rogers video follow link discuss journey httpwwwyoutubecomwatchvyqufoikfgw nuki update since coldplay own right song cant make money video intend donate cff im turn worthless ads update remove link channel im embarrass ever even post rogers journey success amaze ability inspire others thank like subscribe view well wish roger family,Nonprofits & Activism,Inspiring Videos,"inspirational,weight loss,Cystic Fibrosis,CF,CFF,London Marathon,passion,Boston Marathon,marathon,ever,running,training,fitness,inspiring,Roger Wright,transformation,Success"
-pYuSSP5Wls,inspire act everyday kindness,give rarely money day period highlight worlds intimate act give effort showcase true essence word give hope shortfilm encourage viewers nurture vital moments change someones life imagery word good hide vimeo originally produce sevenlyorg inspire give spirit,Nonprofits & Activism,Inspiring Videos,"charity,kindness,random,happiness,peace,people,life"
9Ei_C7NyyY8,aksharanand inspire life aksharbrahman gunatitanand swami hindi,aksharanand inspire life aksharbrahman gunatitanand swami hindi,Nonprofits & Activism,Inspiring Videos,"bapa,baps,swamianrayan,swamishri,gunatitanand swami,aksharanand,aksharbrahman,life story of gunatitanand,valera varu,uga khuman,gondal,junagadh,bahauddin,akshar der,akshar deri sardh shatabdi,akd150"
